id,Datum,Fastenzeit
141031,2014-10-31,0
141101,2014-11-01,0
141102,2014-11-02,0
141103,2014-11-03,0
141104,2014-11-04,0
141105,2014-11-05,0
141106,2014-11-06,0
141107,2014-11-07,0
141108,2014-11-08,0
141109,2014-11-09,0
141110,2014-11-10,0
141111,2014-11-11,0
141112,2014-11-12,0
141113,2014-11-13,0
141114,2014-11-14,0
141115,2014-11-15,0
141116,2014-11-16,0
141117,2014-11-17,0
141118,2014-11-18,0
141119,2014-11-19,0
141120,2014-11-20,0
141121,2014-11-21,0
141122,2014-11-22,0
141123,2014-11-23,0
141124,2014-11-24,0
141125,2014-11-25,0
141126,2014-11-26,0
141127,2014-11-27,0
141128,2014-11-28,0
141129,2014-11-29,0
141130,2014-11-30,0
141201,2014-12-01,0
141202,2014-12-02,0
141203,2014-12-03,0
141204,2014-12-04,0
141205,2014-12-05,0
141206,2014-12-06,0
141207,2014-12-07,0
141208,2014-12-08,0
141209,2014-12-09,0
141210,2014-12-10,0
141211,2014-12-11,0
141212,2014-12-12,0
141213,2014-12-13,0
141214,2014-12-14,0
141215,2014-12-15,0
141216,2014-12-16,0
141217,2014-12-17,0
141218,2014-12-18,0
141219,2014-12-19,0
141220,2014-12-20,0
141221,2014-12-21,0
141222,2014-12-22,0
141223,2014-12-23,0
141224,2014-12-24,0
141225,2014-12-25,0
141226,2014-12-26,0
141227,2014-12-27,0
141228,2014-12-28,0
141229,2014-12-29,0
141230,2014-12-30,0
141231,2014-12-31,0
150101,2015-01-01,0
150102,2015-01-02,0
150103,2015-01-03,0
150104,2015-01-04,0
150105,2015-01-05,0
150106,2015-01-06,0
150107,2015-01-07,0
150108,2015-01-08,0
150109,2015-01-09,0
150110,2015-01-10,0
150111,2015-01-11,0
150112,2015-01-12,0
150113,2015-01-13,0
150114,2015-01-14,0
150115,2015-01-15,0
150116,2015-01-16,0
150117,2015-01-17,0
150118,2015-01-18,0
150119,2015-01-19,0
150120,2015-01-20,0
150121,2015-01-21,0
150122,2015-01-22,0
150123,2015-01-23,0
150124,2015-01-24,0
150125,2015-01-25,0
150126,2015-01-26,0
150127,2015-01-27,0
150128,2015-01-28,0
150129,2015-01-29,0
150130,2015-01-30,0
150131,2015-01-31,0
150201,2015-02-01,0
150202,2015-02-02,0
150203,2015-02-03,0
150204,2015-02-04,0
150205,2015-02-05,0
150206,2015-02-06,0
150207,2015-02-07,0
150208,2015-02-08,0
150209,2015-02-09,0
150210,2015-02-10,0
150211,2015-02-11,0
150212,2015-02-12,0
150213,2015-02-13,0
150214,2015-02-14,0
150215,2015-02-15,0
150216,2015-02-16,0
150217,2015-02-17,0
150218,2015-02-18,1
150219,2015-02-19,1
150220,2015-02-20,1
150221,2015-02-21,1
150222,2015-02-22,1
150223,2015-02-23,1
150224,2015-02-24,1
150225,2015-02-25,1
150226,2015-02-26,1
150227,2015-02-27,1
150228,2015-02-28,1
150301,2015-03-01,1
150302,2015-03-02,1
150303,2015-03-03,1
150304,2015-03-04,1
150305,2015-03-05,1
150306,2015-03-06,1
150307,2015-03-07,1
150308,2015-03-08,1
150309,2015-03-09,1
150310,2015-03-10,1
150311,2015-03-11,1
150312,2015-03-12,1
150313,2015-03-13,1
150314,2015-03-14,1
150315,2015-03-15,1
150316,2015-03-16,1
150317,2015-03-17,1
150318,2015-03-18,1
150319,2015-03-19,1
150320,2015-03-20,1
150321,2015-03-21,1
150322,2015-03-22,1
